First_Name,Last_Name,CC_Num,Street,City,State1,Category1,Customer_Lat,Customer_Long,Merchant_Lat,Merchant_Long,Occupation,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors1,Is_Fraud,Family Size,Age,Gender,Income,Marital Status,Predicted_Fraud,Distance,Distance_Rating,DateT
David,Doe,5467389536756435,345 Redwood St,Springfield,GA,Sports,31.20,-117.25,34.98,-75.13,Salesperson,253.31,Y ,Walmart,Greenville,OH,98101,5732,0,0,3,62,F,32863.00,Married,1,1362.91,0.6,21-Feb-23
John,Brown,5467389536756435,678 Willow St,Oldtown,FL,Books,33.86,-110.25,45.81,-98.37,Teacher,170.18,Y ,Best Buy,Newtown,OH,48226,7011,1,1,4,26,M,32042.00,Divorced,1,2079.04,0.7,24-Mar-23
Bob,Johnson,5467389536756437,987 Cedar St,Hilltown,PA,Entertainment,36.52,-103.25,56.64,-121.61,Doctor,98.92,N,Olive Garden,Hilltown,TX,98101,5912,1,0,2,58,M,82998.00,Married,1,2795.17,0.8,19-May-23
Bob,Doe,5467389536756435,321 Maple St,Metropolis,NC,Dining,39.18,-96.25,67.47,-144.85,Salesperson,91.48,Y ,Target,Metropolis,GA,94105,7011,1,1,2,54,F,62836.00,Married,1,3511.30,0.8,19-Feb-23
Frank,Walker,5467389536756439,654 Birch St,Hilltown,TX,Health,41.84,-89.25,78.30,-168.09,Artist,127.84,N,Amazon,Springfield,MI,48226,5732,0,0,3,69,M,51705.00,Widowed,1,4227.43,0.7,23-May-23
Hank,Taylor,5467389536756440,987 Cedar St,Oldtown,TX,Clothing,44.50,-82.25,89.13,-191.33,Nurse,118.06,N,Amazon,Franklin,CA,90210,4789,1,0,1,30,F,95048.00,Single,1,4943.56,0.5,22-Jun-23
Bob,Nelson,5467389536756435,321 Maple St,Lakeview,NY,Sports,47.16,-75.25,99.96,-214.57,Driver,357.75,Y ,Macy's,Greenville,MI,33801,5812,1,0,2,59,F,54480.00,Divorced,1,5659.69,0.7,11-Sep-23
David,Doe,5467389536756442,321 Maple St,Lakeview,CA,Dining,49.82,-68.25,110.79,-237.81,Doctor,387.12,N,Travelodge,Rivertown,OH,98101,5814,0,0,4,60,F,50955.00,Divorced,1,6375.82,0.7,12-Mar-23
Alice,Johnson,5467389536756443,678 Willow St,Greenville,NY,Dining,52.48,-61.25,121.62,-261.05,Chef,188.11,N,Olive Garden,Rivertown,FL,94105,5411,1,0,4,60,F,64064.00,Widowed,1,7091.95,0.5,28-Feb-23
Carol,Walker,5467389536756444,345 Redwood St,Franklin,CA,Entertainment,55.14,-54.25,132.45,-284.29,Teacher,88.10,N,Best Buy,Rivertown,IL,98101,5812,0,0,2,47,F,31762.00,Divorced,1,7808.08,0.6,28-Jul-23
Frank,Johnson,5467389536756445,345 Redwood St,Newtown,TX,Books,57.80,-47.25,143.28,-307.53,Driver,325.92,N,Travelodge,Salem,OH,98101,5411,1,1,4,50,M,47436.00,Divorced,1,8524.21,0.6,15-Apr-23
